# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.1509 831.216 0.777439
  2 2.1509 835.634 0.781571
  3 3.1509 831.666 0.77786
  4 4.1509 814.288 0.761606
  5 5.1509 815.888 0.763103
  6 6.1509 813.614 0.760976
  7 7.1509 818.282 0.765342
  8 8.1509 825.214 0.771825
  9 9.1509 820.976 0.767862
  10 10.1509 820.298 0.767227
  11 11.1509 818.158 0.765226
  12 12.1509 820.746 0.767646
  13 13.1509 828.434 0.774837
  14 14.1509 827.346 0.773819
  15 15.1509 824.634 0.771283
  16 16.1509 824.852 0.771487
  17 17.1509 828.026 0.774455
  18 18.1509 823.694 0.770404
  19 19.1509 821.522 0.768372
  20 20.1509 824.864 0.771498
  21 21.1509 831.628 0.777824
  22 22.1509 826.136 0.772688
  23 23.1509 824.896 0.771528
  24 24.1509 831.546 0.777748
  25 25.1509 831.592 0.777791
  26 26.1509 823.418 0.770146
  27 27.1509 827.14 0.773627
  28 28.1509 831.968 0.778142
  29 29.1509 830.062 0.77636
  30 30.1509 829.9 0.776208
  31 31.1509 834.76 0.780754
  32 32.1509 828.862 0.775237
  33 33.1509 578.74 0.541297
9000000 33 54000
  1 1.1509 830.992 0.77723
  2 2.1509 830.56 0.776825
  3 3.1509 830.38 0.776657
  4 4.1509 817.877 0.764963
  5 5.1509 816.997 0.76414
  6 6.1509 817.61 0.764713
  7 7.1509 818.533 0.765577
  8 8.1509 821.876 0.768703
  9 9.1509 819.86 0.766818
  10 10.1509 819.968 0.766919
  11 11.1509 819.648 0.766619
  12 12.1509 825.92 0.772486
  13 13.1509 829.924 0.776231
  14 14.1509 828.034 0.774463
  15 15.1509 826.032 0.77259
  16 16.1509 827.519 0.773981
  17 17.1509 827.48 0.773945
  18 18.1509 822.805 0.769572
  19 19.1509 822.407 0.7692
  20 20.1509 822.255 0.769058
  21 21.1509 824.959 0.771587
  22 22.1509 823.744 0.77045
  23 23.1509 822.616 0.769395
  24 24.1509 831.698 0.77789
  25 25.1509 830.488 0.776758
  26 26.1509 827.865 0.774305
  27 27.1509 829.328 0.775673
  28 28.1509 831.536 0.777738
  29 29.1509 828.064 0.774491
  30 30.1509 827.248 0.773728
  31 31.1509 831.451 0.777659
  32 32.1509 833.408 0.779489
  33 33.1509 580.918 0.543335
10000000 33 81000
  1 1.1509 828.833 0.775211
  2 2.1509 829.569 0.775898
  3 3.1509 829.475 0.775811
  4 4.1509 818.088 0.76516
  5 5.1509 818.011 0.765089
  6 6.1509 819.599 0.766573
  7 7.1509 818.572 0.765613
  8 8.1509 822.806 0.769573
  9 9.1509 821.637 0.76848
  10 10.1509 821.403 0.768261
  11 11.1509 821.048 0.767929
  12 12.1509 826.823 0.773331
  13 13.1509 830.061 0.776358
  14 14.1509 828.712 0.775097
  15 15.1509 829.063 0.775426
  16 16.1509 828.315 0.774726
  17 17.1509 830.911 0.777154
  18 18.1509 827.457 0.773923
  19 19.1509 825.344 0.771947
  20 20.1509 826.337 0.772876
  21 21.1509 824.257 0.770931
  22 22.1509 823.813 0.770515
  23 23.1509 822.345 0.769142
  24 24.1509 828.537 0.774934
  25 25.1509 827.397 0.773867
  26 26.1509 826.112 0.772665
  27 27.1509 824.254 0.770927
  28 28.1509 825.859 0.772429
  29 29.1509 825.273 0.77188
  30 30.1509 825.357 0.771959
  31 31.1509 830.175 0.776465
  32 32.1509 833.377 0.779461
  33 33.1509 581.176 0.543576
11000000 33 108000
  1 1.1509 828.696 0.775082
  2 2.1509 827.824 0.774267
  3 3.1509 826.146 0.772697
  4 4.1509 818.734 0.765765
  5 5.1509 819.299 0.766293
  6 6.1509 821.032 0.767914
  7 7.1509 820.099 0.767041
  8 8.1509 824.016 0.770705
  9 9.1509 822.706 0.76948
  10 10.1509 821.361 0.768222
  11 11.1509 821.254 0.768121
  12 12.1509 825.91 0.772476
  13 13.1509 828.315 0.774726
  14 14.1509 828.892 0.775265
  15 15.1509 829.683 0.776006
  16 16.1509 829.709 0.77603
  17 17.1509 831.02 0.777256
  18 18.1509 828.669 0.775057
  19 19.1509 826.096 0.77265
  20 20.1509 825.965 0.772528
  21 21.1509 825.407 0.772006
  22 22.1509 826.841 0.773347
  23 23.1509 824.162 0.770841
  24 24.1509 827.808 0.774251
  25 25.1509 828.272 0.774686
  26 26.1509 827.237 0.773717
  27 27.1509 825.225 0.771836
  28 28.1509 824.928 0.771558
  29 29.1509 824.83 0.771466
  30 30.1509 824.881 0.771514
  31 31.1509 824.373 0.771039
  32 32.1509 830.442 0.776715
  33 33.1509 580.168 0.542633
12000000 33 135000
  1 1.1509 827.617 0.774073
  2 2.1509 826.826 0.773333
  3 3.1509 825.81 0.772383
  4 4.1509 820.869 0.767762
  5 5.1509 821.008 0.767892
  6 6.1509 822.516 0.769302
  7 7.1509 820.128 0.767068
  8 8.1509 822.185 0.768993
  9 9.1509 820.606 0.767515
  10 10.1509 820.023 0.76697
  11 11.1509 819.954 0.766906
  12 12.1509 824.529 0.771184
  13 13.1509 827.14 0.773626
  14 14.1509 825.447 0.772043
  15 15.1509 829.174 0.775529
  16 16.1509 829.776 0.776092
  17 17.1509 830.871 0.777116
  18 18.1509 827.969 0.774402
  19 19.1509 826.476 0.773005
  20 20.1509 826.649 0.773168
  21 21.1509 825.92 0.772486
  22 22.1509 826.803 0.773312
  23 23.1509 825.66 0.772243
  24 24.1509 828.455 0.774857
  25 25.1509 830.64 0.7769
  26 26.1509 829.712 0.776032
  27 27.1509 827.122 0.77361
  28 28.1509 826.25 0.772795
  29 29.1509 824.839 0.771474
  30 30.1509 824.33 0.770999
  31 31.1509 824.874 0.771508
  32 32.1509 829.601 0.775928
  33 33.1509 580.222 0.542684
