# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 33.9556
20000 33.9542
30000 33.9698
40000 33.9744
50000 33.9785
60000 33.9905
70000 34
80000 34.0123
90000 34.0224
100000 34.0336
110000 34.0401
120000 34.0474
130000 34.051
140000 34.0564
150000 34.0629
160000 34.0667
170000 34.0718
180000 34.0768
190000 34.0834
200000 34.0919
210000 34.0998
220000 34.1081
230000 34.1155
240000 34.1233
250000 34.131
260000 34.1373
270000 34.1445
280000 34.153
290000 34.1603
300000 34.1671
310000 34.1742
320000 34.182
330000 34.1896
340000 34.1976
350000 34.2051
360000 34.2118
370000 34.2173
380000 34.2219
390000 34.2269
400000 34.2323
410000 34.2382
420000 34.2446
430000 34.2509
440000 34.2578
450000 34.2649
460000 34.2724
470000 34.2801
480000 34.2872
490000 34.2938
500000 34.2994
510000 34.3048
520000 34.3094
530000 34.3137
540000 34.3186
550000 34.3234
560000 34.3279
570000 34.3331
580000 34.3382
590000 34.3431
600000 34.3483
610000 34.3539
620000 34.3596
630000 34.3657
640000 34.3712
650000 34.3763
660000 34.3814
670000 34.3868
680000 34.3922
690000 34.3977
700000 34.4036
710000 34.4097
720000 34.4163
730000 34.4229
740000 34.4288
750000 34.4344
760000 34.4395
770000 34.4444
780000 34.45
790000 34.4556
800000 34.4613
810000 34.4667
820000 34.4718
830000 34.4776
840000 34.4836
850000 34.4889
860000 34.4936
870000 34.4985
880000 34.5032
890000 34.5081
900000 34.513
910000 34.5178
920000 34.5227
930000 34.5278
940000 34.5331
950000 34.5388
960000 34.5446
970000 34.5501
980000 34.5557
990000 34.5611
1000000 34.5665
1010000 34.5723
1020000 34.578
1030000 34.5836
1040000 34.5892
1050000 34.594
1060000 34.5988
1070000 34.6033
1080000 34.6074
1090000 34.6115
1100000 34.6151
1110000 34.6184
1120000 34.6217
1130000 34.625
1140000 34.6275
1150000 34.6297
1160000 34.6316
1170000 34.6333
1180000 34.6351
1190000 34.6371
1200000 34.6394
1210000 34.6421
1220000 34.6449
1230000 34.6478
1240000 34.6506
1250000 34.6533
1260000 34.6553
1270000 34.6572
1280000 34.659
1290000 34.6607
1300000 34.6629
1310000 34.6652
1320000 34.668
1330000 34.6707
1340000 34.6735
1350000 34.6763
1360000 34.6793
1370000 34.6821
1380000 34.6849
1390000 34.6879
1400000 34.6906
1410000 34.6931
1420000 34.6957
1430000 34.6988
1440000 34.7021
1450000 34.7053
1460000 34.7085
1470000 34.7117
1480000 34.7148
1490000 34.7179
1500000 34.7209
1510000 34.7237
1520000 34.7267
1530000 34.7291
1540000 34.7315
1550000 34.734
1560000 34.7367
1570000 34.7393
1580000 34.7422
1590000 34.7453
1600000 34.7485
1610000 34.7518
1620000 34.7551
1630000 34.7582
1640000 34.7609
1650000 34.7637
1660000 34.7665
1670000 34.7693
1680000 34.772
1690000 34.7747
1700000 34.7779
1710000 34.781
1720000 34.784
1730000 34.7868
1740000 34.7896
1750000 34.7924
1760000 34.795
1770000 34.7976
1780000 34.8006
1790000 34.8035
1800000 34.8062
1810000 34.8089
1820000 34.8115
1830000 34.8144
1840000 34.8175
1850000 34.8208
1860000 34.824
1870000 34.8275
1880000 34.8309
1890000 34.8344
1900000 34.8376
1910000 34.8409
1920000 34.8443
1930000 34.8479
1940000 34.8518
1950000 34.8557
1960000 34.8596
1970000 34.8634
1980000 34.8672
1990000 34.8711
2000000 34.8748
2010000 34.8784
2020000 34.882
2030000 34.8856
2040000 34.8889
2050000 34.8921
2060000 34.8953
2070000 34.8985
2080000 34.9021
2090000 34.9056
2100000 34.9094
2110000 34.9133
2120000 34.9173
2130000 34.9213
2140000 34.9251
2150000 34.9287
2160000 34.9324
2170000 34.9362
2180000 34.9398
2190000 34.9433
2200000 34.9467
2210000 34.9501
2220000 34.9537
2230000 34.9575
2240000 34.9615
2250000 34.9655
2260000 34.9694
2270000 34.9731
2280000 34.9769
2290000 34.9807
2300000 34.9843
2310000 34.9877
2320000 34.9912
2330000 34.9945
2340000 34.9978
2350000 35.0014
2360000 35.0051
2370000 35.0089
2380000 35.0126
2390000 35.0164
2400000 35.0201
2410000 35.024
2420000 35.028
2430000 35.0322
2440000 35.0364
2450000 35.0406
2460000 35.0447
2470000 35.0489
2480000 35.053
2490000 35.0571
2500000 35.0613
2510000 35.0655
2520000 35.0695
2530000 35.0732
2540000 35.0771
2550000 35.081
2560000 35.0851
2570000 35.0891
2580000 35.0929
2590000 35.0968
2600000 35.1005
2610000 35.1044
2620000 35.1083
2630000 35.1121
2640000 35.1158
2650000 35.1198
2660000 35.1236
2670000 35.1275
2680000 35.1315
2690000 35.1354
2700000 35.1393
2710000 35.1431
2720000 35.1467
2730000 35.1501
2740000 35.1534
2750000 35.1569
2760000 35.1602
2770000 35.1637
2780000 35.1674
2790000 35.1709
2800000 35.1744
2810000 35.1779
2820000 35.1815
2830000 35.1851
2840000 35.1884
2850000 35.1918
2860000 35.1952
2870000 35.1987
2880000 35.2021
2890000 35.2055
2900000 35.2088
2910000 35.2121
2920000 35.2154
2930000 35.2185
2940000 35.2215
2950000 35.2242
2960000 35.2272
2970000 35.2302
2980000 35.2331
2990000 35.2358
3000000 35.2384
3010000 35.241
3020000 35.2436
3030000 35.2462
3040000 35.2487
3050000 35.2511
3060000 35.2536
3070000 35.2561
3080000 35.2587
3090000 35.2612
3100000 35.2641
3110000 35.2669
3120000 35.2699
3130000 35.2729
3140000 35.2759
3150000 35.2788
3160000 35.2815
3170000 35.2841
3180000 35.2868
3190000 35.2896
3200000 35.2923
3210000 35.295
3220000 35.2977
3230000 35.3004
3240000 35.3032
3250000 35.306
3260000 35.3091
3270000 35.3123
3280000 35.3154
3290000 35.3185
3300000 35.3215
3310000 35.3245
3320000 35.3275
3330000 35.3307
3340000 35.3338
3350000 35.3369
3360000 35.3399
3370000 35.3427
3380000 35.3455
3390000 35.3482
3400000 35.3508
3410000 35.3536
3420000 35.3563
3430000 35.3589
3440000 35.3615
3450000 35.3643
3460000 35.367
3470000 35.3696
3480000 35.3722
3490000 35.3747
3500000 35.3773
3510000 35.3797
3520000 35.3822
3530000 35.3848
3540000 35.3874
3550000 35.3899
3560000 35.3924
3570000 35.3948
3580000 35.3974
3590000 35.4
3600000 35.4024
3610000 35.4047
3620000 35.407
3630000 35.4093
3640000 35.4117
3650000 35.4141
3660000 35.4167
3670000 35.4193
3680000 35.4219
3690000 35.4244
3700000 35.4267
3710000 35.429
3720000 35.4312
3730000 35.4336
3740000 35.436
3750000 35.4385
3760000 35.441
3770000 35.4434
3780000 35.4458
3790000 35.4483
3800000 35.4508
3810000 35.4532
3820000 35.4556
3830000 35.4581
3840000 35.4606
3850000 35.4632
3860000 35.4659
3870000 35.4686
3880000 35.4714
3890000 35.474
3900000 35.4767
3910000 35.4794
3920000 35.4823
3930000 35.485
3940000 35.4877
3950000 35.4905
3960000 35.4932
3970000 35.4958
3980000 35.4984
3990000 35.5011
4000000 35.5039
4010000 35.5066
4020000 35.5093
4030000 35.512
4040000 35.5149
4050000 35.5176
4060000 35.5202
4070000 35.5227
4080000 35.5251
4090000 35.5275
4100000 35.5298
4110000 35.5322
4120000 35.5346
4130000 35.5372
4140000 35.5397
4150000 35.5421
4160000 35.5443
4170000 35.5466
4180000 35.549
4190000 35.5514
4200000 35.5538
4210000 35.5561
4220000 35.5585
4230000 35.5609
4240000 35.5633
4250000 35.5656
4260000 35.568
4270000 35.5706
4280000 35.5732
4290000 35.5758
4300000 35.5784
4310000 35.5809
4320000 35.5835
4330000 35.5862
4340000 35.5888
4350000 35.5914
4360000 35.5941
4370000 35.5968
4380000 35.5993
4390000 35.6018
4400000 35.6042
4410000 35.6066
4420000 35.609
4430000 35.6113
4440000 35.6137
4450000 35.6161
4460000 35.6186
4470000 35.621
4480000 35.6234
4490000 35.6257
4500000 35.6281
4510000 35.6305
4520000 35.633
4530000 35.6355
4540000 35.6379
4550000 35.6404
4560000 35.6429
4570000 35.6452
4580000 35.6474
4590000 35.6496
4600000 35.6518
4610000 35.6539
4620000 35.6562
4630000 35.6585
4640000 35.6608
4650000 35.6632
4660000 35.6656
4670000 35.6679
4680000 35.6703
4690000 35.6725
4700000 35.6748
4710000 35.6769
4720000 35.679
4730000 35.6811
4740000 35.6832
4750000 35.6854
4760000 35.6875
4770000 35.6897
4780000 35.692
4790000 35.6942
4800000 35.6966
4810000 35.699
4820000 35.7014
4830000 35.7038
4840000 35.7063
4850000 35.7087
4860000 35.7112
4870000 35.7136
4880000 35.7161
4890000 35.7185
4900000 35.721
4910000 35.7234
4920000 35.7259
4930000 35.7283
4940000 35.7308
4950000 35.7333
4960000 35.7358
4970000 35.7382
4980000 35.7406
4990000 35.7431
5000000 35.7456
5010000 35.7481
5020000 35.7506
5030000 35.7531
5040000 35.7557
5050000 35.7582
5060000 35.7609
5070000 35.7637
5080000 35.7665
5090000 35.7693
5100000 35.772
5110000 35.7746
5120000 35.7773
5130000 35.7798
5140000 35.7823
5150000 35.7848
5160000 35.7874
5170000 35.7899
5180000 35.7924
5190000 35.7949
5200000 35.7973
5210000 35.7998
5220000 35.8022
5230000 35.8046
5240000 35.8071
5250000 35.8096
5260000 35.8121
5270000 35.8147
5280000 35.8172
5290000 35.8198
5300000 35.8223
5310000 35.8247
5320000 35.8271
5330000 35.8295
5340000 35.8318
5350000 35.8342
5360000 35.8366
5370000 35.839
5380000 35.8415
5390000 35.8441
5400000 35.8467
5410000 35.8494
5420000 35.8522
5430000 35.855
5440000 35.8577
5450000 35.8603
5460000 35.8629
5470000 35.8656
5480000 35.8681
5490000 35.8706
5500000 35.8732
5510000 35.8758
5520000 35.8784
5530000 35.881
5540000 35.8837
5550000 35.8864
5560000 35.8893
5570000 35.8922
5580000 35.8951
5590000 35.898
5600000 35.9009
5610000 35.9037
5620000 35.9065
5630000 35.9093
5640000 35.9121
5650000 35.9148
5660000 35.9175
5670000 35.9203
5680000 35.923
5690000 35.9257
5700000 35.9283
5710000 35.9309
5720000 35.9336
5730000 35.9363
5740000 35.9391
5750000 35.9419
5760000 35.9447
5770000 35.9476
5780000 35.9504
5790000 35.9532
5800000 35.956
5810000 35.9587
5820000 35.9615
5830000 35.9643
5840000 35.9672
5850000 35.9701
5860000 35.973
5870000 35.976
5880000 35.979
5890000 35.9819
5900000 35.9848
5910000 35.9876
5920000 35.9904
5930000 35.9932
5940000 35.996
5950000 35.9988
5960000 36.0017
5970000 36.0047
5980000 36.0076
5990000 36.0106
6000000 36.0134
