# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 34 27000
  1 0.5 818.212 0.707796
  2 1.5 819.94 0.709291
  3 2.5 804.824 0.696215
  4 3.5 812.344 0.70272
  5 4.5 799.506 0.691614
  6 5.5 804.468 0.695907
  7 6.5 789.176 0.682678
  8 7.5 768.728 0.66499
  9 8.5 824.378 0.71313
  10 9.5 787.942 0.681611
  11 10.5 775.836 0.671138
  12 11.5 806.182 0.697389
  13 12.5 803.992 0.695495
  14 13.5 790.808 0.68409
  15 14.5 772.644 0.668377
  16 15.5 780.368 0.675059
  17 16.5 782.104 0.676561
  18 17.5 801.968 0.693744
  19 18.5 804.646 0.696061
  20 19.5 807.864 0.698844
  21 20.5 801.518 0.693355
  22 21.5 774.014 0.669562
  23 22.5 803.436 0.695014
  24 23.5 770.728 0.66672
  25 24.5 784.736 0.678837
  26 25.5 792.34 0.685415
  27 26.5 785.724 0.679692
  28 27.5 776.312 0.67155
  29 28.5 761.052 0.658349
  30 29.5 809.552 0.700304
  31 30.5 788.75 0.68231
  32 31.5 793.256 0.686208
  33 32.5 792.332 0.685408
  34 33.5 810.32 0.700969
2000000 34 54000
  1 0.5 812.822 0.703133
  2 1.5 822.033 0.711101
  3 2.5 805.3 0.696626
  4 3.5 820.37 0.709663
  5 4.5 807.762 0.698756
  6 5.5 799.868 0.691927
  7 6.5 789.144 0.682651
  8 7.5 775.998 0.671279
  9 8.5 808.918 0.699756
  10 9.5 799.811 0.691878
  11 10.5 775.2 0.670588
  12 11.5 798.801 0.691004
  13 12.5 808.534 0.699424
  14 13.5 791.712 0.684872
  15 14.5 777.639 0.672698
  16 15.5 779.863 0.674622
  17 16.5 784.337 0.678492
  18 17.5 789.423 0.682892
  19 18.5 807.965 0.698932
  20 19.5 799.968 0.692014
  21 20.5 800.838 0.692766
  22 21.5 780.1 0.674827
  23 22.5 797.104 0.689536
  24 23.5 776.442 0.671663
  25 24.5 777.216 0.672332
  26 25.5 804.69 0.696099
  27 26.5 785.982 0.679915
  28 27.5 782.198 0.676642
  29 28.5 761.728 0.658934
  30 29.5 795.217 0.687904
  31 30.5 788.12 0.681765
  32 31.5 797.853 0.690184
  33 32.5 797.769 0.690112
  34 33.5 799.275 0.691414
3000000 34 81000
  1 0.5 645.543 0.558428
  2 1.5 825.34 0.713962
  3 2.5 811.551 0.702034
  4 3.5 821.129 0.710319
  5 4.5 812.244 0.702633
  6 5.5 807.577 0.698596
  7 6.5 801.62 0.693443
  8 7.5 791.516 0.684702
  9 8.5 815.433 0.705392
  10 9.5 807.758 0.698753
  11 10.5 790.113 0.683489
  12 11.5 807.687 0.698691
  13 12.5 814.722 0.704777
  14 13.5 801.817 0.693614
  15 14.5 788.875 0.682418
  16 15.5 789.401 0.682873
  17 16.5 792.283 0.685366
  18 17.5 793.989 0.686842
  19 18.5 809.489 0.70025
  20 19.5 804.335 0.695791
  21 20.5 807.369 0.698416
  22 21.5 795.615 0.688249
  23 22.5 807.905 0.69888
  24 23.5 793.478 0.6864
  25 24.5 796.662 0.689154
  26 25.5 815.699 0.705622
  27 26.5 801.955 0.693732
  28 27.5 795.693 0.688315
  29 28.5 784.993 0.67906
  30 29.5 809.648 0.700388
  31 30.5 803.847 0.69537
  32 31.5 810.23 0.700891
  33 32.5 808.868 0.699713
  34 33.5 635.614 0.549839
4000000 34 108000
  1 0.5 557.678 0.48242
  2 1.5 823.48 0.712353
  3 2.5 816.398 0.706227
  4 3.5 826.159 0.714671
  5 4.5 821.243 0.710417
  6 5.5 815.674 0.7056
  7 6.5 809.511 0.700269
  8 7.5 799.459 0.691573
  9 8.5 814.769 0.704817
  10 9.5 807.485 0.698516
  11 10.5 794.092 0.686931
  12 11.5 807.192 0.698263
  13 12.5 815.069 0.705077
  14 13.5 808.834 0.699683
  15 14.5 799.658 0.691746
  16 15.5 799.87 0.691929
  17 16.5 801.414 0.693265
  18 17.5 802.68 0.69436
  19 18.5 813.168 0.703433
  20 19.5 809.103 0.699916
  21 20.5 812.137 0.70254
  22 21.5 801.893 0.693679
  23 22.5 812.787 0.703103
  24 23.5 801.331 0.693192
  25 24.5 805.087 0.696442
  26 25.5 821.096 0.710291
  27 26.5 810.912 0.701481
  28 27.5 806.14 0.697353
  29 28.5 795.266 0.687946
  30 29.5 811.551 0.702033
  31 30.5 806.419 0.697594
  32 31.5 811.789 0.70224
  33 32.5 810.25 0.700908
  34 33.5 550.41 0.476133
5000000 34 135000
  1 0.5 506.558 0.438199
  2 1.5 825.726 0.714296
  3 2.5 818.27 0.707846
  4 3.5 824.988 0.713657
  5 4.5 821.078 0.710275
  6 5.5 815.28 0.70526
  7 6.5 811.821 0.702267
  8 7.5 800.982 0.692891
  9 8.5 817.17 0.706894
  10 9.5 812.05 0.702466
  11 10.5 800.213 0.692226
  12 11.5 808.925 0.699762
  13 12.5 815.158 0.705154
  14 13.5 810.508 0.701132
  15 14.5 802.833 0.694492
  16 15.5 803.901 0.695416
  17 16.5 805.955 0.697193
  18 17.5 807.843 0.698826
  19 18.5 816.595 0.706397
  20 19.5 814.492 0.704578
  21 20.5 817.653 0.707312
  22 21.5 808.868 0.699712
  23 22.5 816.14 0.706003
  24 23.5 806.979 0.698079
  25 24.5 808.451 0.699352
  26 25.5 820.337 0.709634
  27 26.5 813.409 0.703641
  28 27.5 810.606 0.701216
  29 28.5 799.994 0.692037
  30 29.5 816.625 0.706423
  31 30.5 811.647 0.702117
  32 31.5 815.037 0.705049
  33 32.5 814.099 0.704238
  34 33.5 499.807 0.432359
6000000 34 162000
  1 0.5 470.727 0.407203
  2 1.5 825.889 0.714437
  3 2.5 819.653 0.709042
  4 3.5 824.388 0.713138
  5 4.5 820.697 0.709946
  6 5.5 816.396 0.706225
  7 6.5 813.448 0.703674
  8 7.5 804.119 0.695605
  9 8.5 815.645 0.705575
  10 9.5 812.199 0.702594
  11 10.5 803.512 0.69508
  12 11.5 811.185 0.701717
  13 12.5 815.63 0.705563
  14 13.5 811.082 0.701628
